Name,CPU,Number of Cores,GPU,Number of Sim Cards,OS,Camera Resolution,Weight/Height,Body Structure,Release Data,Charge through USB,Internal Memory,RAM,Memory Expandable/Type,Display Technology,Warranty,Screen Size,Screen Resolution,Ratio of Screen Size to Body,DAR,Pixel Density,Back Camera Recording,Flashlight,Digital Zoom,Front Facing Cameras,Display Features,Back Facing Cameras,Camera HardWare,OTG,Camera Features,Cellular Network,Supported Networks,USB PORT,Bluetooth,GPS and features,Sensors,Special Features,Battery Capacity,Battery Type,Fast Charge,CPU Frequency,Screen Brightness,Screen Refresh Rate,Screen Glass,Available Colors,Brand,Seller,Score,Price Final,Price No Discount
Apple iPhone 13 CH/A 128/4GB - Not Active,"Apple A15 Bionic (5 نانومتر)
",شش هسته,"Apple GPU (4-Core Graphics)
",دو سیم کارت نانو سیم (همزمان فعال),iOS 15,"دوگانه 12 مگاپیکسل + 12 مگاپیکسل
","146.7x71.5x7.7 میلی‌ متر/ 174 گرم
","پشت شیشه‌ ای (گوریلا گلس)، جلو شیشه‌ ای (گوریلا گلس)، فریم آلومینیومی
","شهریور 1400
",,"128 گیگابایت
","4 گیگابایت
",ندارد,"Super Retina XDR OLED
",18 ماه گارانتی شرکتی,"6.1 اینچ
","16 میلیون رنگ/ 2532x1170 پیکسل
","86 درصد
","19.5:9
","460 پیکسل بر اینچ
",4K با سرعت 24 و 30 و 60 فریم بر ثانیه، 1080p با سرعت 30 و 60 و 120 و 240 فریم بر ثانیه، ضبط صدای استریو، HDR  Dolby Vision HDR,"فلاش دوگانه‌ dual-tone، HDR (photo/panorama)
",,12 مگاپیکسل,پوشش سرامیکی مقاوم در برابر خش، پوشش اولفوبیک برای کاهش بازتاب نور و لکه دست، پشتیبانی از Dolby Vision، پشتیبانی از HDR10، پشتیبانی از فضای رنگی گسترده، قابلیت True-Tone,"دوگانه 12 مگاپیکسل + 12 مگاپیکسل
",,,قابلیت ثبت موقعیت جغرافیایی عکس ها و فیلم ها (Geo-Tagging)، قابلیت فوکوس با اشاره روی سوژه (Touch Focus)، قابلیت تشخیص چهره و لبخند (Face and Smile Detection)، قابلیت عکاسی پانوراما (Panorama) و HDR,5G,"GSM ،CDMA ،HSPA ،EVDO ،LTE ،5G
",,"دارد/ نسخه 5.0 و ویژگی های A2DP ،LE
","دارد/ با قابلیت پشتیبانی A-GPS ،GLONASS ،GALILEO BDS ،QZSS
","Face ID، شتاب سنج، ژیروسکوپ، سنسور مجاورت، قطب‌ نما، فشارسنج
",,"3240 میلی‌ آمپر ساعت
",لیتیوم یونی / خیر,دارد، 20 وات,2 هسته 3.23 گیگاهرتز Avalanche و 4 هسته 1.82 گیگاهرتز Blizzard,متوسط 800 نیت و حداکثر 1200 نیت,60 هرتز,,"['آبی ', 'مشکی', 'سفید', 'سبز', 'صورتی']",گوشی اپل,باتوهمراه,4.71,,"37,499,000"
Apple iPhone 13 CH/A 128/4GB - Not Active,"Apple A15 Bionic (5 نانومتر)
",شش هسته,"Apple GPU (4-Core Graphics)
",دو سیم کارت نانو سیم (همزمان فعال),iOS 15,"دوگانه 12 مگاپیکسل + 12 مگاپیکسل
","146.7x71.5x7.7 میلی‌ متر/ 174 گرم
","پشت شیشه‌ ای (گوریلا گلس)، جلو شیشه‌ ای (گوریلا گلس)، فریم آلومینیومی
","شهریور 1400
",,"128 گیگابایت
","4 گیگابایت
",ندارد,"Super Retina XDR OLED
",18 ماه گارانتی شرکتی,"6.1 اینچ
","16 میلیون رنگ/ 2532x1170 پیکسل
","86 درصد
","19.5:9
","460 پیکسل بر اینچ
",4K با سرعت 24 و 30 و 60 فریم بر ثانیه، 1080p با سرعت 30 و 60 و 120 و 240 فریم بر ثانیه، ضبط صدای استریو، HDR  Dolby Vision HDR,"فلاش دوگانه‌ dual-tone، HDR (photo/panorama)
",,12 مگاپیکسل,پوشش سرامیکی مقاوم در برابر خش، پوشش اولفوبیک برای کاهش بازتاب نور و لکه دست، پشتیبانی از Dolby Vision، پشتیبانی از HDR10، پشتیبانی از فضای رنگی گسترده، قابلیت True-Tone,"دوگانه 12 مگاپیکسل + 12 مگاپیکسل
",,,قابلیت ثبت موقعیت جغرافیایی عکس ها و فیلم ها (Geo-Tagging)، قابلیت فوکوس با اشاره روی سوژه (Touch Focus)، قابلیت تشخیص چهره و لبخند (Face and Smile Detection)، قابلیت عکاسی پانوراما (Panorama) و HDR,5G,"GSM ،CDMA ،HSPA ،EVDO ،LTE ،5G
",,"دارد/ نسخه 5.0 و ویژگی های A2DP ،LE
","دارد/ با قابلیت پشتیبانی A-GPS ،GLONASS ،GALILEO BDS ،QZSS
","Face ID، شتاب سنج، ژیروسکوپ، سنسور مجاورت، قطب‌ نما، فشارسنج
",,"3240 میلی‌ آمپر ساعت
",لیتیوم یونی / خیر,دارد، 20 وات,2 هسته 3.23 گیگاهرتز Avalanche و 4 هسته 1.82 گیگاهرتز Blizzard,متوسط 800 نیت و حداکثر 1200 نیت,60 هرتز,,"['آبی ', 'مشکی', 'سفید', 'سبز', 'صورتی']",گوشی اپل,رادمان تجارت,4.71,,"37,800,000"
Apple iPhone 13 CH/A 128/4GB - Not Active,"Apple A15 Bionic (5 نانومتر)
",شش هسته,"Apple GPU (4-Core Graphics)
",دو سیم کارت نانو سیم (همزمان فعال),iOS 15,"دوگانه 12 مگاپیکسل + 12 مگاپیکسل
","146.7x71.5x7.7 میلی‌ متر/ 174 گرم
","پشت شیشه‌ ای (گوریلا گلس)، جلو شیشه‌ ای (گوریلا گلس)، فریم آلومینیومی
","شهریور 1400
",,"128 گیگابایت
","4 گیگابایت
",ندارد,"Super Retina XDR OLED
",18 ماه گارانتی شرکتی,"6.1 اینچ
","16 میلیون رنگ/ 2532x1170 پیکسل
","86 درصد
","19.5:9
","460 پیکسل بر اینچ
",4K با سرعت 24 و 30 و 60 فریم بر ثانیه، 1080p با سرعت 30 و 60 و 120 و 240 فریم بر ثانیه، ضبط صدای استریو، HDR  Dolby Vision HDR,"فلاش دوگانه‌ dual-tone، HDR (photo/panorama)
",,12 مگاپیکسل,پوشش سرامیکی مقاوم در برابر خش، پوشش اولفوبیک برای کاهش بازتاب نور و لکه دست، پشتیبانی از Dolby Vision، پشتیبانی از HDR10، پشتیبانی از فضای رنگی گسترده، قابلیت True-Tone,"دوگانه 12 مگاپیکسل + 12 مگاپیکسل
",,,قابلیت ثبت موقعیت جغرافیایی عکس ها و فیلم ها (Geo-Tagging)، قابلیت فوکوس با اشاره روی سوژه (Touch Focus)، قابلیت تشخیص چهره و لبخند (Face and Smile Detection)، قابلیت عکاسی پانوراما (Panorama) و HDR,5G,"GSM ،CDMA ،HSPA ،EVDO ،LTE ،5G
",,"دارد/ نسخه 5.0 و ویژگی های A2DP ،LE
","دارد/ با قابلیت پشتیبانی A-GPS ،GLONASS ،GALILEO BDS ،QZSS
","Face ID، شتاب سنج، ژیروسکوپ، سنسور مجاورت، قطب‌ نما، فشارسنج
",,"3240 میلی‌ آمپر ساعت
",لیتیوم یونی / خیر,دارد، 20 وات,2 هسته 3.23 گیگاهرتز Avalanche و 4 هسته 1.82 گیگاهرتز Blizzard,متوسط 800 نیت و حداکثر 1200 نیت,60 هرتز,,"['آبی ', 'مشکی', 'سفید', 'سبز', 'صورتی']",گوشی اپل,تکنولایف,4.71,,"37,999,000"
Samsung Galaxy A15 4G 128/4GB,"Mediatek Helio G99 (6nm)

",هشت هسته,Mali-G57 MC2,دو سیم کارت نانوسیم، هیبریدی (همزمان فعال),اندروید 14، رابط کاربری One UI 6,,160.1x76.8x8.4 میلی متر/ 200 گرم,جلو شیشه، پشت و فریم پلاستیک,,,128 گیگابایت,4 گیگابایت,دارد/ microSDXC (مشترک با اسلات سیم کارت),"Super AMOLED
",18 ماه گارانتی شرکتی,6.5 اینچ,1080x2340 پیکسل,~84.3%,19.5:9,~396 پیکسل در هر اینچ,1080p با سرعت 30 فریم بر ثانیه ,دارد ,,13 مگاپیکسل,,سه گانه 50 مگاپیکسل + 5 مگاپیکسل + 2 مگاپیکسل ,,,"LED flash ،panorama ،HDR
",4G,GSM /HSPA /LTE,دارد/ USB Type-C 2.0,دارد/ نسخه 5.3، A2DP و LE,"دارد/ GPS ،GALILEO ،GLONASS ،BDS ،QZSS
",حسگر اثر انگشت، شتاب‌سنج، قطب‌نما، حسگر مجاورت مجازی، ژئومغناطیسی، سنسور نور,,5000 میلی آمپر ساعت,,دارد/ 25 وات,2 هسته 2.2 گیگاهرتزی Cortex-A76 و 6 هسته 2.0 گیگاهرتزی Cortex-A55,800 نیت,90 هرتز,,"['سرمه\u200cای', 'آبی روشن', 'زرد']",گوشی سامسونگ,تامین پخش رایانه,4.28,"5,880,000","6,100,000"
Samsung Galaxy A15 4G 128/4GB,"Mediatek Helio G99 (6nm)

",هشت هسته,Mali-G57 MC2,دو سیم کارت نانوسیم، هیبریدی (همزمان فعال),اندروید 14، رابط کاربری One UI 6,,160.1x76.8x8.4 میلی متر/ 200 گرم,جلو شیشه، پشت و فریم پلاستیک,,,128 گیگابایت,4 گیگابایت,دارد/ microSDXC (مشترک با اسلات سیم کارت),"Super AMOLED
",18 ماه گارانتی شرکتی,6.5 اینچ,1080x2340 پیکسل,~84.3%,19.5:9,~396 پیکسل در هر اینچ,1080p با سرعت 30 فریم بر ثانیه ,دارد ,,13 مگاپیکسل,,سه گانه 50 مگاپیکسل + 5 مگاپیکسل + 2 مگاپیکسل ,,,"LED flash ،panorama ،HDR
",4G,GSM /HSPA /LTE,دارد/ USB Type-C 2.0,دارد/ نسخه 5.3، A2DP و LE,"دارد/ GPS ،GALILEO ،GLONASS ،BDS ،QZSS
",حسگر اثر انگشت، شتاب‌سنج، قطب‌نما، حسگر مجاورت مجازی، ژئومغناطیسی، سنسور نور,,5000 میلی آمپر ساعت,,دارد/ 25 وات,2 هسته 2.2 گیگاهرتزی Cortex-A76 و 6 هسته 2.0 گیگاهرتزی Cortex-A55,800 نیت,90 هرتز,,"['سرمه\u200cای', 'آبی روشن', 'زرد']",گوشی سامسونگ,تکنولایف,4.28,"5,880,000","5,900,000"
Samsung Galaxy A15 4G 128/4GB,"Mediatek Helio G99 (6nm)

",هشت هسته,Mali-G57 MC2,دو سیم کارت نانوسیم، هیبریدی (همزمان فعال),اندروید 14، رابط کاربری One UI 6,,160.1x76.8x8.4 میلی متر/ 200 گرم,جلو شیشه، پشت و فریم پلاستیک,,,128 گیگابایت,4 گیگابایت,دارد/ microSDXC (مشترک با اسلات سیم کارت),"Super AMOLED
",18 ماه گارانتی شرکتی,6.5 اینچ,1080x2340 پیکسل,~84.3%,19.5:9,~396 پیکسل در هر اینچ,1080p با سرعت 30 فریم بر ثانیه ,دارد ,,13 مگاپیکسل,,سه گانه 50 مگاپیکسل + 5 مگاپیکسل + 2 مگاپیکسل ,,,"LED flash ،panorama ،HDR
",4G,GSM /HSPA /LTE,دارد/ USB Type-C 2.0,دارد/ نسخه 5.3، A2DP و LE,"دارد/ GPS ،GALILEO ،GLONASS ،BDS ،QZSS
",حسگر اثر انگشت، شتاب‌سنج، قطب‌نما، حسگر مجاورت مجازی، ژئومغناطیسی، سنسور نور,,5000 میلی آمپر ساعت,,دارد/ 25 وات,2 هسته 2.2 گیگاهرتزی Cortex-A76 و 6 هسته 2.0 گیگاهرتزی Cortex-A55,800 نیت,90 هرتز,,"['سرمه\u200cای', 'آبی روشن', 'زرد']",گوشی سامسونگ,صدر ارتباط,4.28,"5,880,000","5,910,000"
Samsung Galaxy A15 4G 128/4GB,"Mediatek Helio G99 (6nm)

",هشت هسته,Mali-G57 MC2,دو سیم کارت نانوسیم، هیبریدی (همزمان فعال),اندروید 14، رابط کاربری One UI 6,,160.1x76.8x8.4 میلی متر/ 200 گرم,جلو شیشه، پشت و فریم پلاستیک,,,128 گیگابایت,4 گیگابایت,دارد/ microSDXC (مشترک با اسلات سیم کارت),"Super AMOLED
",گارانتی 18 ماهه هماهنگ,6.5 اینچ,1080x2340 پیکسل,~84.3%,19.5:9,~396 پیکسل در هر اینچ,1080p با سرعت 30 فریم بر ثانیه ,دارد ,,13 مگاپیکسل,,سه گانه 50 مگاپیکسل + 5 مگاپیکسل + 2 مگاپیکسل ,,,"LED flash ،panorama ،HDR
",4G,GSM /HSPA /LTE,دارد/ USB Type-C 2.0,دارد/ نسخه 5.3، A2DP و LE,"دارد/ GPS ،GALILEO ،GLONASS ،BDS ،QZSS
",حسگر اثر انگشت، شتاب‌سنج، قطب‌نما، حسگر مجاورت مجازی، ژئومغناطیسی، سنسور نور,,5000 میلی آمپر ساعت,,دارد/ 25 وات,2 هسته 2.2 گیگاهرتزی Cortex-A76 و 6 هسته 2.0 گیگاهرتزی Cortex-A55,800 نیت,90 هرتز,,"['سرمه\u200cای', 'آبی روشن', 'زرد']",گوشی سامسونگ,سگالینو,4.28,"5,880,000","6,020,000"
Samsung Galaxy A15 4G 128/4GB,"Mediatek Helio G99 (6nm)

",هشت هسته,Mali-G57 MC2,دو سیم کارت نانوسیم، هیبریدی (همزمان فعال),اندروید 14، رابط کاربری One UI 6,,160.1x76.8x8.4 میلی متر/ 200 گرم,جلو شیشه، پشت و فریم پلاستیک,,,128 گیگابایت,4 گیگابایت,دارد/ microSDXC (مشترک با اسلات سیم کارت),"Super AMOLED
",18 ماه گارانتی شرکتی,6.5 اینچ,1080x2340 پیکسل,~84.3%,19.5:9,~396 پیکسل در هر اینچ,1080p با سرعت 30 فریم بر ثانیه ,دارد ,,13 مگاپیکسل,,سه گانه 50 مگاپیکسل + 5 مگاپیکسل + 2 مگاپیکسل ,,,"LED flash ،panorama ،HDR
",4G,GSM /HSPA /LTE,دارد/ USB Type-C 2.0,دارد/ نسخه 5.3، A2DP و LE,"دارد/ GPS ،GALILEO ،GLONASS ،BDS ،QZSS
",حسگر اثر انگشت، شتاب‌سنج، قطب‌نما، حسگر مجاورت مجازی، ژئومغناطیسی، سنسور نور,,5000 میلی آمپر ساعت,,دارد/ 25 وات,2 هسته 2.2 گیگاهرتزی Cortex-A76 و 6 هسته 2.0 گیگاهرتزی Cortex-A55,800 نیت,90 هرتز,,"['سرمه\u200cای', 'آبی روشن', 'زرد']",گوشی سامسونگ,اکسترا موبایل,4.28,"5,880,000","6,098,000"
Xiaomi Redmi Note 13 4G 256/8GB,Qualcomm SM6225 Snapdragon 685 (6 نانومتری),هشت هسته,Adreno 610,دو سیم کارت نانو سیم (همزمان فعال),Android 13 با رابط کاربری MIUI 14,,162.3x75.6x8 میلی متر/ 188.5 گرم,,اسفند 1402,دارد,256 گیگابایت,8 گیگابایت,دارد/ microSDXC (مشترک با درگاه سیم کارت),AMOLED,18 ماه گارانتی شرکتی,6.67 اینچ,1080x2400 پیکسل,87.5 درصد,20:9,395 پیکسل بر اینچ,1080p با سرعت 30 فریم بر ثانیه,فلاش LED,,16 مگاپیکسل,,سه گانه 108 مگاپیکسل + 8 مگاپیکسل + 2 مگاپیکسل,,دارد,HDR ،Panorama,4G,GSM ،HSPA ،LTE,دارد/ USB Type-C 2.0,دارد/ نسخه 5.1 با پشتیبانی از A2DP و LE,GPS ،GLONASS ،GALILEO ،BDS,حسگر اثر انگشت، قطب نما، ژیروسکوپ، مجاورت، شتاب سنج,,5000 میلی آمپر ساعت,,پشتیبانی از شارژ سریع 33 وات,4 هسته 2.8 گیگاهرتزی Cortex-A73 و 4 هسته 1.9 گیگاهرتزی Cortex-A53,1800 نیت,120 هرتز,Corning Gorilla Glass 3,"['مشکی', 'سبز', 'آبی']",گوشی شیائومی,مهرآس,3.97,,"9,579,000"
Xiaomi Redmi Note 13 4G 256/8GB,Qualcomm SM6225 Snapdragon 685 (6 نانومتری),هشت هسته,Adreno 610,دو سیم کارت نانو سیم (همزمان فعال),Android 13 با رابط کاربری MIUI 14,,162.3x75.6x8 میلی متر/ 188.5 گرم,,اسفند 1402,دارد,256 گیگابایت,8 گیگابایت,دارد/ microSDXC (مشترک با درگاه سیم کارت),AMOLED,18 ماه گارانتی شرکتی,6.67 اینچ,1080x2400 پیکسل,87.5 درصد,20:9,395 پیکسل بر اینچ,1080p با سرعت 30 فریم بر ثانیه,فلاش LED,,16 مگاپیکسل,,سه گانه 108 مگاپیکسل + 8 مگاپیکسل + 2 مگاپیکسل,,دارد,HDR ،Panorama,4G,GSM ،HSPA ،LTE,دارد/ USB Type-C 2.0,دارد/ نسخه 5.1 با پشتیبانی از A2DP و LE,GPS ،GLONASS ،GALILEO ،BDS,حسگر اثر انگشت، قطب نما، ژیروسکوپ، مجاورت، شتاب سنج,,5000 میلی آمپر ساعت,,پشتیبانی از شارژ سریع 33 وات,4 هسته 2.8 گیگاهرتزی Cortex-A73 و 4 هسته 1.9 گیگاهرتزی Cortex-A53,1800 نیت,120 هرتز,Corning Gorilla Glass 3,"['مشکی', 'سبز', 'آبی']",گوشی شیائومی,تکنولایف,3.97,,"9,629,000"
